Inf,Club,Club Job,Preferred Job,Salary,Rating,WR,Tac Knw,Att,Def,Men,Tec,TCo,Mot,Det,Dis,Personality,Name
FrA,,-,Data Analyst,-,,,10,8,12,8,2,9,9,14,12,Mercenary,Samuel Ziegler
FrA,,-,Head of Youth Development,-,,,10,7,9,7,7,10,12,12,11,Mercenary,Eddie McSweeney
FrA,,-,Sports Scientist,-,,,5,3,6,7,5,7,12,13,12,Mercenary,Ciaran Moran
FrA,,-,Sports Scientist,-,,,3,9,5,7,7,6,12,11,12,Fairly Professional,Pat McGonagle
,1. FC Köln,Scout,Scout,"$2,900 p/w",,,8,7,7,4,7,7,5,13,13,Balanced,Christoph Kresse
FrA,,-,Sports Scientist,-,,,8,13,12,4,6,11,12,13,6,Fairly Ambitious,Andrew Sweeney
,Leicester,Under 18s Assistant Coach,Assistant Coach,"$1,500 p/w",,,10,12,12,12,10,10,1,15,14,Fairly Determined,Mike Marsh
,Coruña B,Goalkeeping Coach,Goalkeeping Coach,"$2,100 p/w",,,9,5,4,11,8,8,14,11,12,Fairly Professional,Diego Bautista
,Levante B,Goalkeeping Coach,Goalkeeping Coach,"$1,300 p/w",,,6,7,5,11,3,4,13,10,15,Balanced,Jordi Serrano
,Gernika,Goalkeeping Coach,Goalkeeping Coach,$825 p/w,,,9,7,11,12,11,9,12,9,12,Mercenary,Fernando Campoy
FrA,,-,Physio,-,,,5,3,3,3,3,3,15,13,13,Balanced,Gustavo Muñoz de Escalona
FrA,,-,Data Analyst,-,,,9,7,5,8,7,5,7,18,14,Temperamental,José Ramón Martínez
FrA,,-,Coach,-,,,7,9,9,7,9,9,12,20,9,Professional,Steven Reid
,Watford,Under 23s Head Coach,Coach,"$4,100 p/w",,,13,13,14,14,13,16,18,14,9,Perfectionist,Hayden Mullins
FrA,,-,Head Coach,-,,,11,2,9,12,11,11,11,20,13,Professional,Víctor Cuesta
,Ipswich Town,Under 18s Head Coach,Head Coach,"$1,500 p/w",,,12,13,8,11,12,8,14,12,10,Fairly Ambitious,Mike Newell
,Wolves,Under 18s Coach,Coach,"$1,800 p/w",,,8,16,8,9,11,9,11,12,14,Professional,Darius Vassell
FrA,,-,Sports Scientist,-,,,4,12,5,7,5,5,12,14,14,Fairly Ambitious,Hugh Davies
FrA,,-,Head Coach,-,,,11,11,8,9,10,13,14,12,11,Fairly Professional,Ricardo Gardner
FrA,,-,Sports Scientist,-,,,6,9,9,2,4,7,12,11,12,Mercenary,Jake Waite
FrA,,-,Sports Scientist,-,,,10,9,6,7,6,9,12,13,15,Mercenary,Russell Miller
FrA,,-,Head Coach,-,,,9,9,11,10,9,9,12,11,12,Unsporting,Ross Griffiths
FrA,,-,Goalkeeping Coach,-,,,9,5,2,10,6,10,13,13,14,Fairly Professional,Leandro Chichizola
FrA,,-,Assistant Coach,-,,,10,10,12,14,10,12,1,12,13,Fairly Professional,Sergio Giovagnoli
FrA,,-,Loan Manager,-,,,11,10,8,7,4,9,12,13,15,Fickle,Jason Baker
,Blackburn,Scout,Scout,$925 p/w,,,10,8,6,5,5,7,15,12,15,Fairly Loyal,Tommy Wright
FrA,,-,Technical Director,-,,,10,7,8,12,9,14,9,12,15,Realist,Mickaël Estornel
,1. FC Kaiserslautern,Goalkeeping Coach,Goalkeeping Coach,"$1,300 p/w",,,7,6,4,8,11,8,12,14,14,Balanced,Johann Dressel
,Boavista,Chief Scout,Scout,"$2,500 p/w",,,10,2,1,7,6,6,6,13,12,Balanced,Fábio Coentrão
FrA,,-,Sports Scientist,-,,,6,6,4,2,9,4,7,13,18,Fairly Ambitious,Til Eichmann
FrA,,-,Sports Scientist,-,,,9,5,2,11,4,7,15,13,9,Mercenary,Thomas Brzenska
FrA,,-,Sports Scientist,-,,,4,8,5,11,5,4,13,12,13,Fairly Ambitious,Mario Andrich
FrA,,-,Sports Scientist,-,,,6,5,10,8,4,5,13,12,7,Fairly Ambitious,Simone Settembrini
FrA,,-,Head of Youth Development,-,,,8,10,10,11,5,8,15,13,10,Fairly Professional,Robbie Fisher
FrA,,-,Loan Manager,-,,,11,12,17,7,10,10,12,14,12,Balanced,Yeray Méndez
FrA,,-,Coach,-,,,12,4,13,14,4,13,13,15,12,Model Professional,Thomas Helveg
FrA,,-,Head of Youth Development,-,,,8,5,11,8,10,8,13,17,11,Resolute,Sören Gonther
,Eintracht Frankfurt,Scout,Scout,"$1,500 p/w",,,10,10,12,14,12,16,16,8,13,Balanced,Andreas Horneff
,FC Barcelona,Sports Scientist,Fitness Coach,"$6,500 p/w",,,10,9,10,15,8,9,14,13,20,Ambitious,Werner Leuthard
FrA,,-,Head of Youth Development,-,,,10,7,14,11,11,10,9,13,17,Fairly Ambitious,Ray Lunan
,CA Osasuna B,Head Coach,Head Coach,"$3,700 p/w",,,10,10,8,10,9,11,17,12,14,Balanced,Alberto Iturralde
,Fortuna Düsseldorf,Goalkeeping Coach,Goalkeeping Coach,"$2,100 p/w",,,3,7,3,10,8,4,14,13,12,Balanced,Christoph Semmler
FrA,,-,Fitness Coach,-,,,9,7,7,5,10,9,8,13,16,Mercenary,Juanjo Palacios
,SC Braga,Under 23s Head Coach,Coach,"$2,000 p/w",,,12,14,9,10,9,13,12,14,10,Fairly Loyal,Jose Morais
FrA,,-,Sports Scientist,-,,,6,9,13,8,10,10,13,12,12,Balanced,Chris Short
FrA,,-,Head Coach,-,,,11,7,5,12,9,9,17,13,12,Fairly Ambitious,Mersad Selimbegovic
FrA,,-,Data Analyst,-,,,8,8,10,11,8,6,2,14,17,Fairly Ambitious,Albert Narváez
FrA,,-,Technical Director,-,,,3,14,6,11,10,4,14,15,15,Fairly Determined,Juan Antonio Bermúdez
FrA,,-,Technical Director,-,,,12,13,12,9,12,13,14,12,11,Light-Hearted,Óscar Muñoz
FrA,,-,Sports Scientist,-,,,11,10,2,6,11,10,10,15,16,Model Citizen,Zack Davies
FrA,,-,Head Coach,-,,,10,9,11,13,13,9,13,12,13,Fairly Loyal,Ali El Asri
FrA,,-,Head Coach,-,,,10,7,8,7,8,9,12,16,16,Fairly Determined,Markus Smarzoch
Wnt,,-,Assistant Coach,-,,,5,6,10,9,7,6,13,16,12,Resolute,Quirin Moll
FrA,,-,Head of Youth Development,-,,,9,6,12,14,12,9,8,12,12,Mercenary,James Pilcher
FrA,,-,Head of Youth Development,-,,,10,12,9,12,11,10,14,9,19,Fairly Loyal,Benoît Barré
FrA,,-,Assistant Coach,-,,,8,8,7,8,9,8,14,14,2,Light-Hearted,Mattia Biso
FrA,,-,Loan Manager,-,,,8,17,7,8,9,9,12,11,13,Unambitious,Jesus Ortiz
FrA,,-,Sports Scientist,-,,,8,10,7,7,4,8,12,14,3,Fickle,Tim Partridge
FrA,,-,Head Coach,-,,,8,8,9,8,8,11,17,13,11,Fairly Professional,Loïc Lambert
Wnt,Cosenza,Under 18s Assistant Coach,Assistant Coach,$650 p/w,,,10,11,8,7,10,9,14,13,11,Fairly Professional,Cyril Théréau
,Stade Brestois 29,Head of Youth Development,Head of Youth Development,"$7,500 p/w",,,8,10,12,11,11,7,20,14,15,Fairly Professional,Nicolas Mariller
FrA,,-,Head of Youth Development,-,,,9,8,6,8,9,9,10,13,12,Fairly Loyal,Johann Gicquel
FrA,,-,Head of Youth Development,-,,,6,11,9,10,11,9,13,12,12,Fairly Loyal,Oscar Allard
,Granada,Physio,Physio,"$2,800 p/w",,,5,5,5,5,5,5,15,11,14,Balanced,Javier Ávila
,Nîmes Olympique,Under 19s Assistant Coach,Assistant Coach,"$1,700 p/w",,,7,9,11,9,11,9,10,12,12,Fairly Loyal,Didier Place
,Newcastle,Scout,Scout,"$1,400 p/w",,,8,7,3,7,7,9,5,15,14,Fairly Determined,Mick Tait
FrA,,-,Coach,-,,,11,11,10,11,12,10,14,16,12,Resolute,Jordan Galtier
,AJ Auxerre,Chief Scout,Scout,"$1,400 p/w",,,6,6,3,7,6,4,1,14,12,Fairly Professional,Jean-Luc Escayol
,Athletic Club,Head Physio,Physio,"$6,250 p/w",,,5,5,5,5,4,5,12,12,17,Balanced,Beñat Azula
FrA,,-,Head of Youth Development,-,,,11,9,11,7,14,10,12,10,14,Light-Hearted,Lucas Bailly
FrA,,-,Loan Manager,-,,,10,7,13,8,10,8,14,11,13,Realist,Jean-Marc Denis
FrA,,-,Loan Manager,-,,,8,8,6,6,10,7,12,10,16,Spirited,Hervé Brun
FrA,,-,Head of Youth Development,-,,,11,10,11,11,11,10,11,12,16,Fairly Professional,Claude Robin
FrA,,-,Sports Scientist,-,,,6,10,4,5,5,5,14,10,18,Balanced,Alan Greene
FrA,,-,Loan Manager,-,,,7,11,9,4,9,4,10,13,15,Fairly Sporting,Louis Berho
FrA,,-,Loan Manager,-,,,9,6,8,4,4,11,11,13,15,Balanced,Maxime Moulin
,Montpellier HSC,Under 19s Goalkeeping Coach,Goalkeeping Coach,"$2,600 p/w",,,10,6,7,8,6,6,13,16,16,Fairly Determined,Julien Gibert
FrA,,-,Assistant Coach,-,,,10,7,9,9,7,10,15,12,11,Professional,Ilie Sánchez
FrA,,-,Scout,-,,,8,10,15,14,8,10,14,10,14,Fairly Ambitious,Tommy Widdrington
Wnt,,-,Head Coach,-,,,11,9,8,8,8,14,10,13,13,Professional,Gorka Etxeberria
,Real Zaragoza,Scout,Scout,"$3,300 p/w",,,6,5,6,6,6,6,16,13,7,Balanced,Pedro Suñén
FrA,,-,Head Coach,-,,,10,9,11,8,9,10,12,13,9,Fairly Professional,Felix Keller
FrA,,-,Technical Director,-,,,8,10,10,11,7,11,10,13,12,Unambitious,Chris Aehlig
FrA,,-,Loan Manager,-,,,13,15,9,5,7,9,13,13,15,Fairly Sporting,Alexander Baumjohann
,Chamois Niortais,Coach,Coach,"$1,200 p/w",,,8,10,10,11,10,9,13,10,12,Balanced,Jean-Philippe Faure
FrA,,-,Goalkeeping Coach,-,,,6,3,3,13,4,8,11,15,12,Professional,Simon Mignolet
,FC Bourg-Péronnas,Coach,Coach,"$1,100 p/w",,,9,10,11,11,9,11,9,15,18,Fairly Determined,Denis Odoi
FrA,,-,Loan Manager,-,,,6,9,9,7,5,5,12,14,9,Balanced,Louis Friedl
,Derby County,Scout,Scout,"$1,100 p/w",,,9,3,6,5,7,8,13,13,12,Fairly Loyal,Darren Wrack
FrA,,-,Loan Manager,-,,,9,14,13,14,7,9,12,12,16,Mercenary,Rüdiger Wolf-Gottwalt
,RCD Espanyol B,Goalkeeping Coach,Goalkeeping Coach,"$1,900 p/w",,,5,2,3,10,4,6,13,16,8,Fairly Determined,Diego Rivas
FrA,,-,Head of Youth Development,-,,,11,13,12,10,5,9,12,14,15,Balanced,Kevin O'Callaghan
Wnt,Red Star FC,Coach,Assistant Coach,"$1,400 p/w",,,9,9,9,9,10,9,14,14,13,Fairly Professional,Thierry De Neef
FrA,,-,Head of Youth Development,-,,,8,5,7,10,10,10,12,12,2,Fairly Professional,Gian Marco Galimberti
,Villarreal,Head Physio,Physio,"$4,200 p/w",,,8,5,5,5,5,7,12,12,12,Balanced,Adolfo Muñoz
Wnt,Venezia,Chief Scout,Scout,"$1,200 p/w",,,11,9,12,12,11,9,10,13,17,Model Professional,Roberto Felicori
,Karlsruher SC,Under 19s Goalkeeping Coach,Goalkeeping Coach,"$1,500 p/w",,,9,2,1,8,3,5,12,16,14,Perfectionist,Felix Wiedwald
,Virtus Entella,Coach,Coach,"$3,400 p/w",,,8,11,13,11,10,10,13,12,14,Fairly Ambitious,Alessio Talia
,Empoli,Assistant Coach,Assistant Coach,"$3,400 p/w",,,7,11,7,9,11,10,12,18,15,Driven,Mirco Antenucci
FrA,,-,Loan Manager,-,,,11,11,5,13,5,8,12,14,15,Balanced,Oscar Reinaudo
FrA,,-,Coach,-,,,12,6,12,12,9,12,13,12,15,Spirited,Giovanni Marchese
,Torino,Under 20s Goalkeeping Coach,Goalkeeping Coach,"$2,500 p/w",,,8,6,6,9,4,6,14,10,16,Balanced,Marco Miglino
,Greuther Fürth,Head Physio,Physio,$875 p/w,,,2,2,2,10,2,2,10,13,12,Fairly Sporting,Daniel Zolinski
,1. FC Köln,Physio,Physio,"$3,900 p/w",,,1,1,1,1,1,1,13,13,5,Balanced,Daniel Schütz
FrA,,-,Head Coach,-,,,11,11,12,11,9,10,10,14,12,Fairly Loyal,Ivan Maraia
FrA,,-,Head of Youth Development,-,,,11,4,10,9,7,8,12,13,16,Fairly Sporting,Dennis Slamar
FrA,,-,Head Coach,-,,,5,6,4,13,6,5,15,12,12,Balanced,Guillermo Fernández Romo
Wnt,Salernitana,Under 20s Goalkeeping Coach,Goalkeeping Coach,$925 p/w,,,7,6,6,10,6,7,15,13,4,Balanced,Luca Squinzani
Wnt,Crotone,Scout,Scout,"$1,400 p/w",,,9,10,10,1,3,9,15,12,10,Balanced,Antonio Galardo
FrA,,-,Sports Scientist,-,,,5,2,8,5,6,3,12,15,14,Fairly Determined,Luke Radford
,Modena,Scout,Scout,$650 p/w,,,6,6,5,6,6,7,9,16,14,Resolute,Pasquale Lanzillo
FrA,,-,Coach,-,,,12,10,11,11,9,15,13,13,12,Fairly Professional,Ramón Villagordo
FrA,,-,Loan Manager,-,,,7,8,6,8,9,5,11,15,12,Fairly Determined,Manuele Del Padrone
,Cronenberg,Head Coach,Head Coach,"$2,400 p/w",,,6,9,8,10,10,9,14,14,12,Balanced,Peter Radojewski
FrA,,-,Head Coach,-,,,8,10,9,10,10,8,15,13,8,Unambitious,Jozef Horny
FrA,,-,Assistant Coach,-,,,9,12,3,9,11,10,13,15,9,Ambitious,Tomer Hemed
FrA,,-,General Manager,-,,,7,6,7,7,6,7,10,13,16,Fairly Ambitious,Lior Refaelov
FrA,,-,Head of Youth Development,-,,,7,10,6,7,10,7,13,16,18,Fairly Determined,Marwin Studtrucker
,Cádiz CF,Scout,Scout,"$2,200 p/w",,,13,5,7,8,7,13,8,15,15,Resolute,Javier Manzano
FrA,,-,Head Coach,-,,,8,11,9,11,12,9,10,15,15,Fairly Determined,Zang Zhenxing
FrA,,-,Coach,-,,,7,9,9,12,11,8,11,13,15,Temperamental,Isaac Williams
FrA,,-,Sports Scientist,-,,,5,5,11,12,8,7,8,15,17,Fairly Determined,Phil Cheese
FrA,,-,Assistant Coach,-,,,9,11,3,11,11,8,13,15,12,Resolute,Marvin Bakalorz
FrA,,-,Sports Scientist,-,,,5,13,3,8,11,7,13,20,12,Determined,Grant Meaney
FrA,,-,Sports Scientist,-,,,6,7,12,10,12,6,17,12,9,Fairly Loyal,Luke Milton
FrA,,-,Sports Scientist,-,,,7,6,8,6,11,6,16,14,11,Fickle,Martin Read
FrA,,-,Sports Scientist,-,,,6,10,4,5,12,6,16,10,13,Temperamental,Shane Horgan
,Levante,Physio,Physio,"$5,250 p/w",,,7,2,5,5,3,7,12,7,16,Balanced,Martín Badano
FrA,,-,Sports Scientist,-,,,7,4,10,5,3,5,17,15,19,Spirited,Eliot Davies
,Wolves,Physio,Physio,"$2,600 p/w",,,9,5,5,5,5,6,12,12,15,Balanced,Danny Fishwick
FrA,,-,Data Analyst,-,,,13,9,9,15,12,10,4,14,13,Fairly Sporting,Michael Pilkington
,Real Sporting,Under 19s Physio,Physio,"$2,100 p/w",,,9,5,5,5,5,8,13,8,13,Balanced,Jesús Ángel Santos
Wnt,,-,Assistant Coach,-,,,7,9,7,12,10,10,10,14,12,Fairly Loyal,Kevin Maher
FrA,,-,Technical Director,-,,,8,10,11,5,7,9,15,13,14,Realist,Ben Shepherd
FrA,,-,Technical Director,-,,,4,8,6,13,15,7,14,11,15,Professional,Nikki Brinkhurst
FrA,,-,Technical Director,-,,,4,11,2,15,10,9,13,16,16,Professional,Paul Bailey
FrA,,-,Goalkeeping Coach,-,,,10,6,1,6,5,3,10,14,13,Fairly Professional,Dani Giménez
FrA,,-,Coach,-,,,7,12,10,10,13,6,14,13,14,Balanced,Hakan Yakin
FrA,,-,Assistant Coach,-,,,11,4,6,9,9,13,13,15,2,Resolute,Totchtawan Sripan
,Linares,Under 19s Head Coach,Head Coach,$600 p/w,,,8,3,3,13,4,3,16,19,11,Determined,Toni Doblas
,Córdoba,Chief Scout,Scout,"$1,800 p/w",,,9,7,8,8,8,8,8,16,18,Resolute,Juanito
FrA,,-,Loan Manager,-,,,6,7,5,8,14,4,13,7,13,Balanced,Joe Procter
,Clermont Foot,Coach,Coach,"$1,900 p/w",,,6,11,11,14,12,11,13,10,12,Balanced,Sébastien Mazeyrat
FrA,,-,Sports Scientist,-,,,8,3,2,10,7,8,15,8,16,Professional,Lee Cahill
FrA,,-,Goalkeeping Coach,-,,,4,6,3,9,7,5,14,12,15,Fairly Loyal,Vincent Planté
,AS Nancy,Goalkeeping Coach,Goalkeeping Coach,"$1,500 p/w",,,8,7,4,10,6,6,13,15,2,Resolute,Gennaro Bracigliano
FrA,,-,General Manager,-,,,5,6,6,4,7,7,12,13,10,Fairly Professional,Baptiste Malherbe
FrA,,-,Loan Manager,-,,,8,14,7,13,11,9,13,14,6,Fickle,Phil Walker
FrA,,-,Loan Manager,-,,,6,9,11,9,12,5,13,11,15,Fairly Professional,Liam Owen
,Benevento,Head of Youth Development,Head of Youth Development,"$1,600 p/w",,,7,11,12,8,12,6,15,8,17,Balanced,Diego Palermo
FrA,,-,Head of Youth Development,-,,,5,10,8,9,8,6,12,15,8,Spirited,Andy Burke
,Middlesbrough,Goalkeeping Coach,Goalkeeping Coach,"$1,400 p/w",,,5,5,6,7,5,4,12,13,13,Fairly Professional,Danny Coyne
FrA,,-,Head Coach,-,,,9,9,10,7,10,11,16,12,7,Fairly Professional,Michael Schiele
,Angers SCO,Under 19s Fitness Coach,Fitness Coach,"$1,000 p/w",,,10,4,8,9,5,9,10,17,13,Fairly Determined,Thomas Villemin
,AS Saint-Étienne,Under 19s Physio,Physio,"$1,200 p/w",,,7,2,3,3,3,4,12,9,12,Fickle,Jérémie Coureuil
,OGC Nice,Data Analyst,Data Analyst,"$1,900 p/w",,,7,4,7,5,6,7,7,14,14,Balanced,Adrian Ursea
FrA,,-,Head of Youth Development,-,,,9,8,9,10,11,9,11,13,16,Balanced,Nicolas Garnier
FrA,,-,Head of Youth Development,-,,,6,12,13,14,11,6,11,14,14,Fairly Sporting,Julien Lemaitre
FrA,,-,Sports Scientist,-,,,6,8,6,12,9,8,10,20,13,Determined,Rudi Renaud
,Clermont Foot,Chief Scout,Scout,"$1,700 p/w",,,11,6,6,7,7,6,1,12,15,Balanced,Philippe Vaugeois
FrA,,-,Data Analyst,-,,,10,13,11,10,16,10,7,12,12,Fickle,Harri Limbert
FrA,,-,Technical Director,-,,,10,3,5,12,4,12,13,12,11,Temperamental,Kyllian Granier
FrA,,-,Physio,-,,,3,3,3,3,3,3,13,11,13,Balanced,John Gibson
FrA,,-,General Manager,-,,,6,4,5,4,5,6,9,13,20,Fairly Loyal,Jordan Marié
,FC Barcelona B,Assistant Coach,Coach,"$4,000 p/w",,,12,16,16,15,16,14,20,15,11,Resolute,Darren O'Dea
FrA,,-,Technical Director,-,,,9,10,7,7,10,11,10,16,12,Fairly Determined,Alan Raynaud
FrA,,-,Coach,-,,,7,10,6,11,11,12,13,19,2,Driven,Shaun Maloney
FrA,,-,Technical Director,-,,,9,7,10,10,6,8,11,14,12,Fairly Professional,Cédric Breton
FrA,,-,Coach,-,,,8,11,9,10,12,10,17,11,12,Balanced,Willy
FrA,,-,Technical Director,-,,,7,10,10,12,7,8,10,12,16,Unambitious,Hervé Guillon
,AS Béziers,Goalkeeping Coach,Goalkeeping Coach,"$1,200 p/w",,,6,7,4,5,1,5,12,11,18,Balanced,Thomas Fédrigo
FrA,,-,Loan Manager,-,,,6,6,4,7,6,6,12,9,18,Fairly Ambitious,Johnny Michel
FrA,,-,Head of Youth Development,-,,,8,10,6,8,10,6,10,17,18,Spirited,Giuseppe Rossi
FrA,,-,Scout,-,,,8,10,10,6,5,5,4,13,13,Balanced,Ali M'Madi
FrA,,-,Assistant Coach,-,,,11,7,11,11,7,11,3,18,17,Driven,Terry Fenwick
,Millwall,Chief Scout,Scout,$725 p/w,,,4,10,11,9,8,11,7,13,18,Professional,Terry Bullivant
FrA,,-,Data Analyst,-,,,8,12,4,7,10,6,5,14,12,Fairly Professional,Duarte Fonseca
,AS Saint-Étienne,Under 19s Goalkeeping Coach,Goalkeeping Coach,"$2,700 p/w",,,3,4,4,6,5,2,6,15,17,Fairly Determined,Haidar Al-Shaïbani
FrA,,-,Head of Youth Development,-,,,11,11,13,9,10,9,13,13,6,Realist,Paul Dönhöfer
FrA,,-,Assistant Coach,-,,,9,9,12,5,8,10,12,14,8,Fairly Professional,André Auras
FrA,,-,Coach,-,,,7,9,13,13,10,12,16,18,13,Driven,Rob Jones
FrA,,-,Goalkeeping Coach,-,,,5,4,3,8,6,3,12,15,10,Fairly Determined,Dean Lewington
Wnt,CD Guijuelo,Assistant Coach,Assistant Coach,$800 p/w,,,9,10,8,7,12,8,11,12,12,Ambitious,Juanto
,Blackburn,Coach,Coach,"$1,800 p/w",,,8,11,11,11,11,11,15,12,9,Fairly Ambitious,James Morrison
,Sochaux-Montbéliard,Assistant Coach,Assistant Coach,"$3,200 p/w",,,9,5,13,9,12,11,17,12,15,Fairly Professional,Ali Boumnijel
,Stade Brestois 29,Stade Brestois 29 2 Goalkeeping Coach,Goalkeeping Coach,"$2,700 p/w",,,4,6,1,5,5,1,13,14,9,Balanced,Anthony Corre
,West Ham,Under 23s Assistant Coach,Assistant Coach,"$1,400 p/w",,,8,8,11,11,10,10,12,17,11,Resolute,Curtis Davies
FrA,,-,General Manager,-,,,1,4,4,4,4,5,13,14,10,Fairly Ambitious,Franco Di Santo
FrA,,-,Sports Scientist,-,,,5,5,9,10,7,6,12,12,10,Balanced,Rainer Kern
,RC Lens,Physio,Physio,"$1,800 p/w",,,6,5,5,5,4,6,12,10,16,Balanced,Florian Dupré
FrA,,-,Coach,-,,,9,9,10,10,10,10,19,18,12,Driven,Andy Mangan
FrA,,-,Sports Scientist,-,,,8,7,8,3,9,7,8,12,15,Professional,Armin Krause
,RC Lens,Head Physio,Physio,"$1,900 p/w",,,7,5,5,5,5,5,13,6,15,Balanced,Jean-Pierre Czayka
FrA,,-,Coach,-,,,9,4,10,9,6,8,12,19,14,Determined,Joe
Wnt,,-,Coach,-,,,9,10,11,11,10,11,12,14,15,Fairly Loyal,Abasse Ba
,Sestao River,Assistant Coach,Assistant Coach,$950 p/w,,,9,10,10,10,10,10,12,12,13,Balanced,José Antonio Caro
FrA,,-,Loan Manager,-,,,8,9,4,7,4,11,12,12,16,Balanced,Raffaele Feola
FrA,,-,Head Coach,-,,,12,6,5,11,5,9,16,15,10,Resolute,Scott Carson
FrA,,-,Sports Scientist,-,,,11,5,4,7,9,8,10,14,13,Spirited,Murat Subaşı
FrA,,-,Head of Youth Development,-,,,10,11,10,9,11,10,13,10,15,Fairly Professional,Ricky Duncan
FrA,,-,Head Coach,-,,,10,5,6,8,6,7,18,12,10,Balanced,Fuat Kiliç
,Patacona,Head Coach,Head Coach,"$1,300 p/w",,,5,12,6,8,6,5,15,13,10,Balanced,Mario Barco
Wnt,,-,Data Analyst,-,,,12,7,12,9,8,8,8,14,18,Balanced,Thomas Bichler
,Lyon,Under 19s Assistant Coach,Assistant Coach,"$1,900 p/w",,,11,8,12,11,9,10,9,13,14,Fairly Professional,Pierre Chavrondier
FrA,,-,Physio,-,,,5,5,5,5,5,5,10,15,18,Ambitious,Stuart Ayles
,Montpellier HSC,Scout,Scout,"$4,100 p/w",,,10,5,4,7,4,8,8,12,15,Balanced,Claude Barrabé
,Peterborough,Head of Youth Development,Head of Youth Development,"$1,300 p/w",,,12,6,1,1,6,7,15,12,9,Balanced,Kieran Scarff
,Granada,Scout,Scout,"$3,300 p/w",,,11,8,12,8,8,10,10,12,15,Jovial,Juanito
FrA,,-,Assistant Coach,-,,,6,10,18,9,9,9,13,15,3,Loyal,Cliff Byrne
,Juventus,B Team Goalkeeping Coach,Goalkeeping Coach,"$4,800 p/w",,,1,2,2,7,4,2,12,13,18,Fairly Professional,Cristiano Lupatelli
,Sestao River,Head Physio,Physio,$750 p/w,,,6,5,5,5,5,6,14,12,16,Balanced,José María Olivares
,Rayo Vallecano,Head Physio,Physio,"$3,000 p/w",,,5,5,5,5,5,3,12,9,17,Balanced,Miguel Ángel Cordero
,CF Villanovense,Under 19s Head Coach,Head Coach,$425 p/w,,,6,6,6,6,6,6,19,13,11,Balanced,Gaspar Campillo
FrA,,-,Head of Youth Development,-,,,10,9,6,10,11,9,12,12,13,Balanced,Francis Ferrón
FrA,,-,Head Coach,-,,,11,9,10,11,11,10,13,15,18,Perfectionist,Darren Sarll
FrA,,-,Technical Director,-,,,10,12,10,11,11,9,12,12,12,Fairly Professional,Jan Engel
FrA,,-,Technical Director,-,,,6,12,13,7,10,9,12,15,18,Resolute,Doğukan Özer
FrA,,-,Loan Manager,-,,,6,6,11,8,5,9,14,11,14,Balanced,Fausto Tacchinardi
Wnt,EA Guingamp,Coach,Coach,"$6,750 p/w",,,7,12,9,9,11,8,15,14,10,Fairly Professional,Jean-Baptiste Le Bescond
,Celta de Vigo B,Assistant Coach,Assistant Coach,"$2,100 p/w",,,10,9,11,9,9,9,15,9,14,Balanced,Santiago Sánchez Martín
FrA,,-,Technical Director,-,,,5,10,12,9,11,7,7,15,13,Fairly Determined,Bernd Ameln
FrA,,-,Technical Director,-,,,6,7,9,6,7,9,12,10,14,Fairly Ambitious,Robert Meyer
FrA,,-,Technical Director,-,,,10,8,12,13,9,11,13,9,13,Fairly Sporting,Lorenzo Fratini
FrA,,-,General Manager,-,,,11,10,16,15,10,14,9,12,13,Fairly Professional,Pierre Dréossi
FrA,,-,Sports Scientist,-,,,5,5,6,6,3,3,12,9,16,Balanced,Diego Chapinal
,AS Nancy,Coach,Coach,"$1,400 p/w",,,9,9,11,11,9,12,12,15,7,Resolute,Abdeslam Ouaddou
FrA,,-,Loan Manager,-,,,11,7,11,9,8,7,12,9,13,Unambitious,Florian Sutter
,Toulouse FC,Scout,Scout,"$3,300 p/w",,,10,7,7,7,7,8,2,14,18,Fairly Sporting,Jean-Joël Perrier-Doumbé
,Albacete Balompié,Head Physio,Physio,"$1,900 p/w",,,5,5,5,5,5,5,12,10,14,Balanced,Abel González
FrA,,-,Loan Manager,-,,,7,10,10,12,10,7,14,12,16,Fairly Loyal,Stefan Denniger
FrA,,-,Coach,-,,,9,11,10,10,10,12,18,12,14,Spirited,Paco Gallardo
FrA,,-,Fitness Coach,-,,,3,7,7,6,7,7,13,12,11,Balanced,Daniel Iglesias
,Girona FC,Scout,Scout,"$3,700 p/w",,,12,14,13,8,8,8,12,13,9,Fairly Professional,Juan Carlos Moreno
FrA,,-,Loan Manager,-,,,10,8,6,9,6,7,14,8,14,Balanced,Sven Bruns
,FC Cartagena,Under 19s Head Coach,Head Coach,"$1,000 p/w",,,10,9,10,9,10,9,16,15,15,Fairly Determined,Caco Morán
,SM Caen,Assistant Coach,Coach,"$1,400 p/w",,,10,13,10,11,12,11,12,13,14,Fairly Professional,Nicolas Seube
,FC Bourg-Péronnas,Goalkeeping Coach,Goalkeeping Coach,$700 p/w,,,5,8,2,10,10,10,13,11,13,Fairly Professional,Boris Berraud
,Watford,Coach,Head of Youth Development,"$6,500 p/w",,,13,13,13,13,14,13,13,14,12,Fairly Professional,Abdel Bouhazama
FrA,,-,Head Coach,-,,,8,9,9,8,12,9,10,15,15,Fairly Determined,Christian Rizzolo
,Amiens SC,Coach,Coach,"$2,000 p/w",,,6,15,8,12,15,5,12,16,9,Fairly Determined,Abder Ramdane
,CA Osasuna B,Assistant Coach,Assistant Coach,"$3,600 p/w",,,9,9,9,9,10,11,14,10,19,Balanced,José Manuel Gil Delgado
